age-group;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;86.169.657;87.336.165;88.480.530;89.601.782;90.698.483;91.769.282;92.813.167;93.829.262;94.816.963;95.776.055;96.706.703;97.610.297;98.487.258;99.336.858;100.159.507;100.955.522;101.726.102;102.471.274;103.189.829;103.881.681;104.546.709;105.183.853;105.792.687;106.373.562;106.926.006;107.449.726;107.944.653;108.410.458;108.846.637;109.252.781;109.628.293;109.973.545;110.291.279;110.580.270;110.839.481;111.067.779;111.264.145;111.427.670;111.557.573;111.653.523;111.715.186;111.742.097;111.734.134;111.691.455;111.614.261;111.502.896;111.357.593;111.178.810;110.967.211;110.723.325;110.447.804;110.141.324;109.804.395;109.437.771;109.042.173;108.618.267;108.166.899;107.688.801;107.184.648;106.655.130;106.100.861
0-4;8.822.519;8.835.314;8.825.999;8.793.911;8.738.757;8.665.669;8.552.332;8.436.921;8.319.655;8.201.738;8.084.544;7.968.967;7.855.783;7.745.875;7.639.836;7.538.055;7.440.345;7.346.412;7.255.932;7.168.551;7.083.953;7.002.050;6.922.558;6.844.940;6.768.835;6.694.045;6.620.462;6.548.189;6.477.460;6.408.283;6.340.468;6.275.707;6.215.596;6.159.266;6.105.918;6.053.994;6.002.256;5.947.420;5.889.767;5.829.611;5.767.316;5.703.238;5.637.758;5.571.322;5.504.378;5.437.357;5.370.764;5.305.013;5.240.325;5.176.890;5.114.852;5.054.357;4.995.473;4.938.155;4.882.343;4.827.957;4.774.911;4.723.092;4.672.377;4.622.648;4.573.803
5-9;8.786.527;8.777.107;8.772.630;8.772.501;8.775.072;8.773.343;8.788.580;8.781.991;8.752.834;8.700.739;8.630.809;8.520.795;8.408.609;8.294.199;8.178.587;8.062.852;7.948.370;7.836.274;7.727.362;7.622.248;7.521.305;7.424.232;7.330.826;7.240.865;7.154.005;7.069.933;6.988.558;6.909.558;6.832.402;6.756.726;6.682.334;6.608.980;6.536.930;6.466.410;6.397.453;6.330.695;6.266.228;6.206.397;6.150.309;6.097.166;6.045.460;5.993.937;5.939.303;5.881.867;5.821.931;5.759.827;5.695.926;5.630.607;5.564.346;5.497.588;5.430.737;5.364.298;5.298.686;5.234.122;5.170.831;5.108.948;5.048.590;4.989.829;4.932.618;4.876.898;4.822.602
10-14;8.903.808;8.846.059;8.810.013;8.791.274;8.778.937;8.766.463;8.757.565;8.753.572;8.753.901;8.756.910;8.755.622;8.771.349;8.765.388;8.736.869;8.685.434;8.616.189;8.506.920;8.395.463;8.281.774;8.166.872;8.051.817;7.937.803;7.825.955;7.717.284;7.612.384;7.511.646;7.414.838;7.321.746;7.232.081;7.145.521;7.061.730;6.980.452;6.901.549;6.824.467;6.748.860;6.674.535;6.601.411;6.529.574;6.459.262;6.390.510;6.323.938;6.259.653;6.199.983;6.144.038;6.091.065;6.039.525;5.988.124;5.933.615;5.876.305;5.816.485;5.754.494;5.690.710;5.625.509;5.559.362;5.492.707;5.425.958;5.359.621;5.294.110;5.229.671;5.166.503;5.104.700
15-19;9.176.873;9.188.514;9.131.405;9.030.993;8.928.799;8.851.716;8.794.793;8.759.269;8.740.804;8.728.605;8.716.209;8.707.666;8.704.469;8.705.845;8.710.088;8.710.123;8.727.113;8.722.384;8.695.133;8.645.006;8.577.057;8.469.152;8.358.850;8.246.276;8.132.453;8.018.431;7.905.491;7.794.744;7.687.141;7.583.257;7.483.464;7.387.420;7.295.073;7.206.102;7.120.173;7.036.981;6.956.425;6.878.233;6.801.804;6.726.806;6.653.051;6.580.475;6.509.161;6.439.394;6.371.162;6.305.065;6.241.212;6.181.927;6.126.356;6.073.734;6.022.518;5.971.443;5.917.277;5.860.297;5.800.792;5.739.133;5.675.665;5.610.774;5.544.931;5.478.547;5.412.072
20-24;8.250.696;8.448.735;8.655.428;8.847.769;8.992.029;9.068.600;9.080.845;9.024.955;8.926.083;8.825.286;8.749.139;8.693.202;8.659.029;8.642.183;8.631.969;8.622.007;8.616.044;8.615.332;8.619.040;8.625.473;8.627.654;8.646.292;8.643.065;8.617.406;8.568.967;8.502.771;8.397.076;8.289.015;8.178.645;8.066.994;7.955.073;7.843.950;7.735.016;7.629.170;7.526.959;7.428.764;7.334.395;7.243.583;7.156.079;7.071.545;6.989.686;6.910.393;6.833.374;6.758.061;6.684.147;6.611.434;6.539.844;6.469.458;6.400.592;6.333.191;6.267.897;6.204.821;6.146.243;6.091.356;6.039.400;5.988.810;5.938.339;5.884.763;5.828.361;5.769.433;5.708.334
25-29;7.260.478;7.402.924;7.565.420;7.744.085;7.932.957;8.125.853;8.323.066;8.528.507;8.719.503;8.862.805;8.939.151;8.952.332;8.898.828;8.803.322;8.706.325;8.634.055;8.581.961;8.551.296;8.537.606;8.530.327;8.523.174;8.519.537;8.520.678;8.526.097;8.534.148;8.537.905;8.557.935;8.556.336;8.532.431;8.485.870;8.421.636;8.317.979;8.212.021;8.103.787;7.994.269;7.884.437;7.775.560;7.668.742;7.564.862;7.464.557;7.368.157;7.275.453;7.186.257;7.100.306;7.017.229;6.936.756;6.858.727;6.782.896;6.708.743;6.635.965;6.564.323;6.493.782;6.424.412;6.356.463;6.289.959;6.225.541;6.163.273;6.105.467;6.051.289;5.999.972;5.950.010
30-34;6.701.791;6.769.451;6.839.393;6.918.548;7.016.271;7.137.842;7.280.990;7.443.715;7.622.163;7.810.454;8.002.481;8.198.766;8.403.359;8.593.953;8.737.916;8.816.331;8.832.635;8.783.049;8.691.933;8.599.232;8.530.805;8.481.900;8.453.725;8.442.198;8.436.880;8.431.556;8.429.805;8.432.863;8.440.041;8.449.705;8.455.026;8.476.037;8.475.544;8.452.923;8.407.866;8.345.289;8.243.931;8.140.219;8.034.160;7.926.701;7.818.861;7.711.883;7.606.905;7.504.817;7.406.176;7.311.335;7.220.141;7.132.359;7.047.693;6.965.832;6.886.540;6.809.650;6.734.908;6.661.799;6.589.999;6.519.283;6.449.662;6.381.185;6.314.099;6.248.408;6.184.737
35-39;6.195.776;6.294.888;6.374.445;6.440.751;6.503.751;6.570.592;6.640.446;6.712.397;6.793.287;6.892.322;7.014.642;7.158.146;7.320.989;7.499.389;7.687.579;7.879.629;8.075.960;8.280.489;8.471.272;8.616.171;8.696.508;8.715.361;8.668.940;8.581.428;8.492.195;8.426.792;8.380.699;8.355.153;8.345.945;8.342.776;8.339.463;8.339.325;8.343.814;8.352.290;8.363.140;8.369.638;8.391.916;8.392.852;8.371.831;8.328.498;8.267.704;8.168.431;8.066.763;7.962.684;7.857.137;7.751.187;7.646.038;7.542.797;7.442.346;7.345.263;7.251.864;7.162.027;7.075.547;6.992.117;6.911.454;6.833.283;6.757.423;6.683.716;6.611.619;6.540.766;6.470.977
40-44;5.308.879;5.467.326;5.627.848;5.783.595;5.924.322;6.044.253;6.145.078;6.226.762;6.295.456;6.360.793;6.429.797;6.501.702;6.575.687;6.658.389;6.758.883;6.882.205;7.026.347;7.189.428;7.367.740;7.555.694;7.747.458;7.943.296;8.147.061;8.337.298;8.482.383;8.563.906;8.584.997;8.541.888;8.458.242;8.372.804;8.310.718;8.267.335;8.244.027;8.236.727;8.235.265;8.233.549;8.235.123;8.241.186;8.251.096;8.263.347;8.271.241;8.294.648;8.296.857;8.277.246;8.235.510;8.176.479;8.079.388;7.979.828;7.877.812;7.774.290;7.670.330;7.567.097;7.465.685;7.366.986;7.271.522;7.179.658;7.091.328;7.006.244;6.924.154;6.844.779;6.767.797
