age-group;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060
Total;87.278.689;88.549.064;89.795.598;91.017.326;92.213.004;93.381.524;94.521.970;95.633.493;96.715.476;97.767.914;98.791.094;99.786.721;100.755.204;101.695.856;102.609.055;103.495.127;104.355.330;105.189.655;105.996.973;106.777.332;107.530.666;108.256.605;108.954.822;109.625.162;110.267.087;110.880.288;111.463.899;112.017.572;112.541.548;113.035.388;113.498.624;113.930.763;114.335.350;114.711.070;115.056.688;115.371.137;115.653.121;115.901.468;116.115.430;116.294.434;116.438.018;116.545.584;116.616.790;116.651.769;116.650.559;116.613.383;116.540.572;116.432.314;116.289.048;116.111.362;115.899.884;115.655.184;115.377.838;115.068.541;114.728.062;114.357.265;113.956.892;113.527.613;113.070.164;112.585.110;112.073.027
0-4;8.491.991;8.498.323;8.483.348;8.446.607;8.387.853;8.310.144;8.196.551;8.081.348;7.964.826;7.848.082;7.732.413;7.618.838;7.508.175;7.401.181;7.298.297;7.199.685;7.105.143;7.014.366;6.927.034;6.842.781;6.761.305;6.682.491;6.606.064;6.531.492;6.458.416;6.386.644;6.316.076;6.246.804;6.179.026;6.112.784;6.047.843;5.985.865;5.928.343;5.874.449;5.823.417;5.774.032;5.724.559;5.672.145;5.617.057;5.559.592;5.500.101;5.438.917;5.376.404;5.312.986;5.249.088;5.185.124;5.121.575;5.058.833;4.997.108;4.936.582;4.877.390;4.819.674;4.763.500;4.708.820;4.655.577;4.603.697;4.553.096;4.503.668;4.455.296;4.407.866;4.361.277
5-9;8.487.231;8.475.818;8.468.413;8.464.277;8.461.996;8.457.009;8.465.459;8.452.656;8.418.070;8.361.433;8.285.778;8.174.265;8.061.013;7.946.231;7.830.922;7.716.257;7.603.503;7.493.687;7.387.461;7.285.274;7.187.289;7.093.293;7.002.992;6.916.122;6.832.320;6.751.286;6.672.831;6.596.711;6.522.441;6.449.662;6.378.204;6.307.794;6.238.675;6.171.063;6.104.961;6.040.681;5.978.914;5.921.595;5.867.883;5.817.010;5.767.796;5.718.495;5.666.239;5.611.296;5.553.963;5.494.618;5.433.593;5.371.223;5.307.935;5.244.156;5.180.292;5.116.842;5.054.218;4.992.623;4.932.211;4.873.122;4.815.497;4.759.402;4.704.793;4.651.620;4.599.805
10-14;8.614.988;8.556.415;8.519.877;8.500.653;8.487.543;8.473.701;8.462.615;8.455.516;8.451.680;8.449.676;8.444.955;8.453.733;8.441.389;8.407.297;8.351.178;8.276.054;8.165.124;8.052.464;7.938.241;7.823.491;7.709.355;7.596.985;7.487.417;7.381.439;7.279.475;7.181.721;7.087.892;6.997.720;6.910.981;6.827.300;6.746.366;6.667.893;6.591.801;6.517.569;6.444.800;6.373.354;6.303.111;6.234.124;6.166.612;6.100.638;6.036.499;5.974.855;5.917.623;5.864.024;5.813.277;5.764.159;5.714.921;5.662.731;5.607.883;5.550.673;5.491.424;5.430.457;5.368.135;5.304.894;5.241.170;5.177.400;5.114.066;5.051.531;4.989.992;4.929.623;4.870.565
15-19;8.920.682;8.931.314;8.874.671;8.775.351;8.673.626;8.595.641;8.537.516;8.501.358;8.482.441;8.469.621;8.456.048;8.445.364;8.438.804;8.435.542;8.434.160;8.430.077;8.439.451;8.427.714;8.394.229;8.338.727;8.264.254;8.153.865;8.041.597;7.927.743;7.813.352;7.699.555;7.587.486;7.478.189;7.372.457;7.270.726;7.173.182;7.079.446;6.989.435;6.902.824;6.819.250;6.738.408;6.660.180;6.584.314;6.510.291;6.437.733;6.366.461;6.296.374;6.227.559;6.160.238;6.094.449;6.030.448;5.968.958;5.911.892;5.858.411;5.807.747;5.758.737;5.709.624;5.657.562;5.602.813;5.545.694;5.486.542;5.425.673;5.363.447;5.300.301;5.236.675;5.173.013
20-24;8.096.049;8.290.221;8.491.484;8.678.036;8.817.740;8.891.746;8.902.838;8.846.836;8.748.274;8.647.312;8.569.968;8.512.579;8.477.244;8.459.143;8.447.136;8.434.416;8.424.610;8.418.925;8.416.472;8.415.846;8.412.457;8.422.289;8.410.855;8.377.712;8.322.582;8.248.511;8.138.559;8.026.679;7.913.204;7.799.206;7.685.790;7.573.922;7.464.891;7.359.412;7.257.914;7.160.627;7.067.288;6.977.627;6.891.342;6.808.085;6.727.537;6.649.596;6.573.996;6.500.231;6.427.914;6.356.909;6.287.072;6.218.470;6.151.358;6.085.764;6.021.940;5.960.630;5.903.727;5.850.389;5.799.864;5.751.001;5.702.025;5.650.098;5.595.490;5.538.510;5.479.478
25-29;7.208.187;7.348.977;7.509.411;7.685.734;7.872.059;8.062.389;8.256.516;8.457.690;8.644.196;8.784.018;8.858.402;8.870.281;8.815.493;8.718.323;8.618.766;8.542.753;8.486.640;8.452.497;8.435.486;8.424.527;8.412.797;8.403.721;8.398.488;8.396.441;8.396.166;8.393.100;8.403.166;8.391.955;8.359.053;8.304.215;8.230.472;8.120.701;8.009.130;7.895.982;7.782.304;7.669.217;7.557.924;7.449.387;7.344.370;7.243.343;7.146.459;7.053.495;6.964.233;6.878.305;6.795.395;6.715.172;6.637.547;6.562.242;6.488.765;6.416.717;6.345.977;6.276.373;6.208.000;6.141.113;6.075.725;6.012.089;5.950.974;5.894.247;5.841.066;5.790.720;5.742.031
30-34;6.734.234;6.802.684;6.873.000;6.951.985;7.048.780;7.168.663;7.309.699;7.470.243;7.646.554;7.832.802;8.022.996;8.217.132;8.418.481;8.605.310;8.745.726;8.821.076;8.834.163;8.780.826;8.685.280;8.587.322;8.512.792;8.457.859;8.424.535;8.408.238;8.397.913;8.386.776;8.378.219;8.373.445;8.371.801;8.371.875;8.369.108;8.379.227;8.368.190;8.335.537;8.281.002;8.207.583;8.098.553;7.987.700;7.875.231;7.762.208;7.649.713;7.538.945;7.430.943;7.326.480;7.225.974;7.129.579;7.037.074;6.948.242;6.862.704;6.780.173;6.700.306;6.623.025;6.548.042;6.474.879;6.403.129;6.332.678;6.263.333;6.195.215;6.128.576;6.063.419;6.000.010
35-39;6.302.187;6.404.598;6.486.317;6.553.724;6.617.077;6.683.762;6.753.021;6.824.104;6.903.755;7.001.064;7.121.269;7.262.540;7.423.305;7.599.781;7.786.206;7.976.626;8.170.982;8.372.501;8.559.587;8.700.521;8.776.742;8.790.872;8.738.752;8.644.590;8.547.970;8.474.608;8.420.709;8.388.251;8.372.695;8.363.031;8.352.513;8.344.406;8.340.082;8.338.810;8.339.218;8.336.783;8.347.437;8.336.985;8.304.928;8.251.046;8.178.346;8.070.141;7.960.074;7.848.355;7.736.004;7.624.170;7.514.088;7.406.753;7.302.938;7.203.010;7.107.156;7.015.196;6.926.843;6.841.754;6.759.692;6.680.254;6.603.390;6.528.799;6.456.008;6.384.606;6.314.497
40-44;5.470.281;5.635.784;5.802.880;5.964.531;6.110.186;6.233.784;6.336.998;6.419.703;6.488.222;6.552.657;6.620.367;6.690.610;6.762.663;6.843.208;6.941.260;7.062.021;7.203.663;7.364.596;7.541.101;7.727.483;7.917.843;8.112.050;8.313.249;8.500.088;8.641.080;8.717.778;8.732.780;8.681.949;8.589.334;8.494.233;8.422.220;8.369.372;8.337.818;8.322.996;8.313.983;8.304.093;8.296.768;8.293.151;8.292.537;8.293.580;8.291.763;8.302.900;8.293.045;8.261.691;8.208.556;8.136.619;8.029.387;7.920.285;7.809.499;7.698.079;7.587.173;7.477.934;7.371.381;7.268.311;7.169.123;7.074.020;6.982.738;6.895.025;6.810.573;6.729.082;6.650.184
